text,label,priority
building on fire with people trapped inside,Fire,High
severe garbage accumulation causing environmental and health emergency,Municipality,High
routine health facility maintenance required,Health Department,Low
sparking from transformer in residential area near children Please take action,Electricity,High
water tank maintenance not done for months Please take action,Water,Medium
chemical fire in warehouse area,Fire,High
sanitation training program for food vendors Please take action,Health Department,Low
"bridge foundation showing cracks, structural integrity at risk Please take action",PWD,High
Reported: stray dogs roaming creating nuisance and safety hazard,Health Department,Medium
street light needs new bulb replacement,Electricity,Low
emergency sewage overflow creating hazardous condition,Water,High
gas cylinder blast in residential building,Fire,High
potential fire risk due to electrical issue detected,Fire,Medium
open dumping of waste creating health hazard in residential area,Municipality,High
clinic needs equipment calibration,Health Department,Low
stray dogs roaming creating nuisance and safety hazard,Health Department,Medium
open dumping of waste creating health hazard in residential area,Municipality,High
fire exit door needs repair in office Please take action,Fire,Low
routine health facility maintenance required,Health Department,Low
park bench needs repainting and repair,Municipality,Low
slight discoloration in drinking water,Water,Medium
vehicles parked illegally blocking emergency access,Police/Traffic,Medium
Reported: tree branches hanging dangerously near road,Municipality,Medium
vehicle collision on road needing intervention,Police/Traffic,Medium
Reported: sparking from transformer in residential area near children,Electricity,High
Reported: routine water maintenance scheduled,Water,Low
illegal billboard obstruction on public path Please take action,Municipality,Medium
traffic violation with vehicles breaking red light,Police/Traffic,Medium
fire equipment maintenance and inspection due,Fire,Low
sanitation training program for food vendors,Health Department,Low
"garbage not collected for several days, piling up Please take action",Municipality,Medium
fire alarm system not working in hospital,Fire,Medium
clinic needs equipment calibration,Health Department,Low
minor pothole needs filling in residential street,PWD,Low
frequent power tripping affecting daily operations,Electricity,Medium
vehicles parked illegally blocking emergency access,Police/Traffic,Medium
multiple potholes on street requiring immediate repair Please take action,PWD,Medium
fire extinguisher not available in government building,Fire,Medium
park grass needs regular cutting & maintenance,Municipality,Low
"helmet not used by riders, awareness campaign needed",Police/Traffic,Low
Reported: slight discoloration in drinking water,Water,Medium
Reported: traffic violation with vehicles breaking red light,Police/Traffic,Medium
emergency light requires battery replacement,Fire,Low
Reported: asphalt patch needed on side street,PWD,Low
old water line needs replacement soon Please take action,Water,Low
minor electrical maintenance required,Electricity,Low
water pressure very low in residential area,Water,Medium
concrete pavement crumbling near market,PWD,Medium
sparking from transformer in residential area near children Please take action,Electricity,High
road surface uneven near school area,PWD,Medium
fire safety training needed for staff Please take action,Fire,Low
electrical wire partially damaged requires immediate repair,Electricity,Medium
overflowing dustbin on street creating smell,Municipality,Medium
"stray dogs attacking people in locality, immediate animal control needed",Health Department,High
water tank maintenance not done for months,Water,Medium
short circuit in street light causing fire risk,Electricity,High
street light requires new bulb replacement,Electricity,Low
molestation incident reported by female citizen,Police/Traffic,High
broken water tap wasting precious water resource,Water,Medium
Reported: clinic needs equipment calibration,Health Department,Low
street light needs new bulb replacement,Electricity,Low
tree branches need pruning for maintenance,Municipality,Low
Reported: tree branches need pruning for maintenance,Municipality,Low
sewage overflow in residential area causing disease outbreak,Water,High
water pipe leakage on street resulting in water waste,Water,Medium
Reported: open dumping of waste creating health hazard in residential area,Municipality,High
short circuit in street light causing fire risk,Electricity,High
power supply irregular and unstable in area,Electricity,Medium
short circuit in street light causing fire risk,Electricity,High
public toilet not functioning for community,Municipality,Medium
asphalt patch needed on side street,PWD,Low
minor crack in transformer box,Electricity,Low
manhole cover missing creating dangerous pit,PWD,High
critical fire emergency requiring immediate response,Fire,High
garbage accumulation causing disease outbreak,Municipality,High
street sign faded needs repainting,PWD,Low
street light needs new bulb replacement,Electricity,Low
molestation incident reported by female citizen,Police/Traffic,High
vector-borne disease indication requiring intervention & control,Health Department,Medium
traffic accident with fatality near school,Police/Traffic,High
Reported: live wire hanging near the main road causing electric shock hazard,Electricity,High
drainage pipe choked causing water accumulation,Water,Medium
fire safety training needed for staff Please take action,Fire,Low
severe food contamination causing widespread illness immediately,Health Department,High
fire safety training needed for staff,Fire,Low
"water supply irregular, only few hours daily Please take action",Water,Medium
park bench needs repainting and repair,Municipality,Low
broken sidewalk creating walking hazard for citizens,PWD,Medium
"helmet not used by riders, awareness campaign needed",Police/Traffic,Low
voltage fluctuations damaging household appliances Please take action,Electricity,Medium
park grass needs regular cutting and maintenance,Municipality,Low
dangerous high voltage transformer sparking dangerously Please take action,Electricity,High
emergency health hazard affecting multiple people Please take action,Health Department,High
emergency road collapse threatening public safety,PWD,High
slight discoloration in drinking water Please take action,Water,Medium
"stray dogs attacking people in area, urgent animal control needed",Health Department,High
park grass needs regular cutting and maintenance,Municipality,Low
emergency light needs battery replacement,Fire,Low
Reported: health checkup camp scheduling needed,Health Department,Low
critical road damage causing traffic accident risk,PWD,High
Reported: fire alarm system not working in hospital,Fire,Medium
sewage overflow in residential area causing disease outbreak,Water,High
burning smell indicating possible fire risk in building,Fire,Medium
routine road marking and sign maintenance Please take action,PWD,Low
Reported: fire exit door needs repair in office,Fire,Low
road surface uneven near school area,PWD,Medium
chemical fire in warehouse area Please take action,Fire,High
accident scene without proper barricading setup,Police/Traffic,Medium
major pothole on main road causing accidents and vehicle damage,PWD,High
tree branches need pruning for maintenance,Municipality,Low
malaria cases reported in residential area,Health Department,Medium
emergency light needs battery replacement,Fire,Low
severe garbage accumulation causing environmental and health emergency,Municipality,High
water supply stopped for more than 48 hours,Water,High
parking space marking needs clarification,Police/Traffic,Low
road surface deteriorated with multiple cracks,PWD,Medium
waste accumulation needing immediate collection and disposal,Municipality,Medium
Reported: traffic noise pollution from horn usage,Police/Traffic,Medium
Reported: emergency encroachment blocking essential services and access,Municipality,High
Reported: minor pothole needs filling in residential street,PWD,Low
gas cylinder blast in residential building,Fire,High
pickpocketing incidents in crowded market,Police/Traffic,Medium
road needs repainting of lane markings,PWD,Low
road completely damaged affecting vehicle movement,PWD,High
emergency traffic situation with multiple vehicle collision Please take action,Police/Traffic,High
fire safety signage needs replacement in mall,Fire,Low
fire in dense residential locality threatening multiple buildings,Fire,High
water pipe leakage on street resulting in water waste Please take action,Water,Medium
road needs regular maintenance and sweeping,PWD,Low
Reported: garbage accumulation causing disease outbreak,Municipality,High
"bridge foundation showing cracks, structural integrity at risk",PWD,High
broken water tap wasting precious water resource Please take action,Water,Medium
traffic noise pollution from horn usage,Police/Traffic,Medium
severe food contamination causing widespread illness urgently,Health Department,High
health checkup camp scheduling needed,Health Department,Low
"Reported: helmet not used by riders, awareness campaign needed",Police/Traffic,Low
major water tank rupture flooding this area,Water,High
emergency sewage overflow creating hazardous condition,Water,High
water supply stopped for more than 48 hours,Water,High
Reported: major water tank rupture flooding the area,Water,High
Reported: traffic signal malfunctioning at busy intersection causing congestion,Police/Traffic,Medium
fire exit door needs repair in office,Fire,Low
traffic accident with fatality near school Please take action,Police/Traffic,High
fire safety audit failing in commercial area,Fire,Medium
asphalt patch needed on side street,PWD,Low
Reported: minor pothole needs filling in residential street,PWD,Low
street sign installation for park entrance Please take action,Municipality,Low
paint fading on electrical pole,Electricity,Low
encroachment blocking main road affecting public access,Municipality,High
loose connection at transformer causing sparks intermittently Please take action,Electricity,Medium
Reported: encroachment issue needing removal and enforcement action,Municipality,Medium
paint fading on electrical pole,Electricity,Low
power supply irregular and unstable in area,Water,Medium
critical water scarcity affecting hospital and homes Please take action,Water,High
manhole cover missing creating dangerous pit,PWD,High
Reported: dangerous accident with severe injuries and casualties,Police/Traffic,High
"garbage not collected for several days, piling up",Municipality,Medium
"dengue outbreak suspected, vector surveillance urgently needed",Health Department,High
"Reported: dengue outbreak suspected, vector surveillance urgently needed",Health Department,High
pest infestation near food storage locality,Health Department,Medium
electric pole fallen and live wires on ground floor Please take action,Electricity,High
vector-borne disease indication requiring intervention & control,Health Department,Medium
sidewalk broken making it difficult for elderly and disabled,PWD,Medium
tree branches need pruning for maintenance Please take action,Municipality,Low
routine fire safety equipment maintenance needed Please take action,Fire,Low
road surface deteriorated with multiple cracks,PWD,Medium
minor crack in transformer box Please take action,Electricity,Low
Reported: park encroachment by unauthorized vendors,Municipality,Medium
traffic signal malfunctioning at busy intersection causing congestion,Police/Traffic,Medium
emergency traffic situation with multiple vehicle collision,Police/Traffic,High
food poisoning outbreak in locality causing hospitalizations,Health Department,High
dusty light fixtures need cleaning,Electricity,Low
traffic signal light needs cleaning from dust,Police/Traffic,Low
garbage accumulation causing disease outbreak Please take action,Municipality,High
emergency encroachment blocking essential services & access,Municipality,High
dusty light fixtures need cleaning Please take action,Electricity,Low
damaged transformer needs urgent maintenance and fixing,Electricity,Medium
health awareness poster placement needed,Health Department,Low
water supply stopped for more than 48 hours,Water,High
water tap handle broken needs fixing Please take action,Water,Low
routine water maintenance scheduled,Water,Low
traffic violation with vehicles breaking red light,Police/Traffic,Medium
emergency fire situation with potential casualties Please take action,Fire,High
loose connection at transformer causing sparks intermittently,Electricity,Medium
food poisoning outbreak in locality causing hospitalizations,Health Department,High
Reported: building on fire with people trapped inside,Fire,High
molestation incident reported by female citizen,Police/Traffic,High
"dengue outbreak suspected, vector surveillance urgently needed",Health Department,High
Reported: reckless drunk driver causing accidents on highway,Police/Traffic,High
parking space marking needs clarification Please take action,Police/Traffic,Low
traffic violation with vehicles breaking red light Please take action,Police/Traffic,Medium
Reported: fire in dense residential area threatening multiple buildings,Fire,High
vehicle collision on road needing intervention,Police/Traffic,Medium
rash driving near school affecting student safety,Police/Traffic,Medium
water leakage from main pipeline affecting entire neighborhood,Water,High
park encroachment by unauthorized vendors,Municipality,Medium
minor pothole needs filling in residential street,PWD,Low
park grass needs regular cutting & maintenance,Municipality,Low
explosion near petrol pump causing severe damage,Fire,High
water tank needs paint refreshing,Water,Low
emergency electrical hazard causing immediate danger,Electricity,High
sewage overflow in residential area causing disease outbreak,Water,High
Reported: pothole appearing on main street needs quick attention,PWD,Medium
street light not working on main road for 3 weeks,Electricity,Medium
traffic signal malfunctioning at busy intersection causing congestion,Police/Traffic,Medium
minor crack in transformer box,Electricity,Low
fire safety audit failing in commercial area,Fire,Medium
power supply irregular and unstable in area Please take action,Electricity,Medium
fire safety training needed for staff,Fire,Low
damaged road surface needing urgent patching and repair Please take action,PWD,Medium
critical road damage causing traffic accident risk,PWD,High
reckless drunk driver causing accidents on highway Please take action,Police/Traffic,High
Reported: contaminated water supply causing health issues,Water,High
emergency road collapse threatening public safety,PWD,High
electrical burning smell in residential complex,Fire,Medium
food stall operating without proper hygiene license,Health Department,Medium
critical road damage causing traffic accident risk Please take action,PWD,High
stolen two wheeler reported in the area,Police/Traffic,Medium
multiple potholes on street requiring immediate repair,PWD,Medium
clinic needs equipment calibration,Health Department,Low
loose connection at transformer causing sparks intermittently,Electricity,Medium
Reported: fire safety training needed for staff,Fire,Low
smoke coming from basement of office building,Fire,Medium
dangling wires on telephone poles creating hazard,Electricity,Medium
emergency electrical hazard causing immediate danger,Electricity,High
"dead bird spreading disease, immediate disposal required",Health Department,High
fire hazard condition needing urgent attention and inspection,Fire,Medium
emergency light needs battery replacement,Fire,Low
building on fire with people trapped inside,Fire,High
Reported: emergency health hazard affecting multiple people,Health Department,High
gas cylinder blast in residential building Please take action,Fire,High
dangling wires on telephone poles creating hazard,Electricity,Medium
routine water maintenance scheduled,Water,Low
traffic accident with fatality near school,Police/Traffic,High
health checkup camp scheduling needed,Health Department,Low
road completely damaged affecting vehicle movement,PWD,High
frequent power tripping affecting daily operations,Electricity,Medium
Reported: routine fire safety equipment maintenance needed,Fire,Low
water supply stopped for more than 48 hours Please take action,Water,High
"Reported: assault case reported, victim in critical condition",Police/Traffic,High
critical crime incident requiring immediate response Please take action,Police/Traffic,High
pharmacy selling expired medicines illegally,Health Department,Medium
Reported: critical road damage causing traffic accident risk,PWD,High
road needs regular maintenance and sweeping Please take action,PWD,Low
emergency road collapse threatening public safety,PWD,High
street divider damaged after vehicle collision,PWD,Medium
illegal construction on public land,Municipality,High
Reported: fire alarm system not working in hospital,Fire,Medium
smoke coming from basement of office building,Fire,Medium
sewage overflow in residential area causing disease outbreak,Water,High
"water supply irregular, only few hours daily",Water,Medium
water meter needs servicing & calibration,Water,Low
Reported: street light needs new bulb replacement,Electricity,Low
critical waste management crisis threatening public health,Municipality,High
smoke coming from basement of office building,Fire,Medium
food stall operating without proper hygiene license,Health Department,Medium
Reported: sewage treatment plant overflow causing environmental damage,Municipality,High
Reported: stolen two wheeler reported in the area,Police/Traffic,Medium
emergency sewage overflow creating hazardous condition,Water,High
road surface deteriorated with multiple cracks Please take action,PWD,Medium
street sign installation for park entrance,Municipality,Low
building on fire with people trapped inside,Fire,High
road surface deteriorated with multiple cracks,PWD,Medium
loose connection at transformer causing sparks intermittently,Electricity,Medium
critical water scarcity affecting hospital and homes Please take action,Water,High
"Reported: assault case reported, victim in critical condition",Police/Traffic,High
health awareness poster placement needed,Health Department,Low
critical crime incident requiring immediate response,Police/Traffic,High
"vehicle theft reported, urgent investigation needed",Police/Traffic,High
Reported: park bench needs repainting and repair,Municipality,Low
public area beautification needed,Municipality,Low
multiple potholes on street requiring immediate repair,PWD,Medium
clinic requires equipment calibration,Health Department,Low
fire hazard condition needing urgent attention and inspection Please take action,Fire,Medium
Reported: explosion near petrol pump causing severe damage,Fire,High
dusty light fixtures need cleaning,Electricity,Low
traffic sign damaged needs replacement,Police/Traffic,Low
health center needs routine inspection and maintenance Please take action,Health Department,Low
"dead bird spreading disease, immediate disposal required Please take action",Health Department,High
severe subsidence on road near government building,PWD,High
water leakage from main pipeline affecting entire neighborhood,Water,High
dangerous accident with severe injuries and casualties Please take action,Police/Traffic,High
power outage in hospital during emergency situation,Electricity,High
Reported: traffic sign damaged needs replacement,Police/Traffic,Low
encroachment issue needing removal & enforcement action,Municipality,Medium
"dengue outbreak suspected, vector surveillance urgently needed",Health Department,High
"helmet not used by riders, awareness campaign needed",Police/Traffic,Low
explosion near petrol pump causing severe damage,Fire,High
road requires regular maintenance and sweeping,PWD,Low
parking space marking needs clarification Please take action,Police/Traffic,Low
fire hazard condition needing urgent attention and inspection,Fire,Medium
"robbery incident on main street, criminal still at large",Police/Traffic,High
loose connection at transformer causing sparks intermittently,Electricity,Medium
fire exit door requires repair in office,Fire,Low
electric pole fallen & live wires on ground floor,Electricity,High
emergency light needs battery replacement,Fire,Low
live wire hanging near the main road causing electric shock hazard,Electricity,High
"helmet not used by riders, awareness campaign needed",Police/Traffic,Low
broken electric meter near market area Please take action,Electricity,Medium
accident scene without proper barricading setup,Police/Traffic,Medium
road needs repainting of lane markings Please take action,PWD,Low
emergency fire situation with potential casualties,Fire,High
stray dogs roaming creating nuisance and safety hazard,Health Department,Medium
park grass needs regular cutting & maintenance,Municipality,Low
Reported: rash driving near school affecting student safety,Police/Traffic,Medium
Reported: dusty light fixtures need cleaning,Electricity,Low
vector-borne disease indication requiring intervention and control,Health Department,Medium
park bench needs repainting and repair Please take action,Municipality,Low
concrete pavement crumbling near market,PWD,Medium
unhygienic food preparation in restaurant causing health risk,Health Department,High
street sign installation for park entrance,Municipality,Low
food stall operating without proper hygiene license,Health Department,Medium
Reported: water tank needs paint refreshing,Water,Low
water meter needs servicing and calibration Please take action,Water,Low
paint fading on electrical pole,Electricity,Low
water supply intermittent requiring immediate action,Water,Medium
molestation incident reported by female citizen,Police/Traffic,High
park bench needs repainting and repair,Municipality,Low
Reported: power outage in hospital during emergency situation,Electricity,High
Reported: broken electric meter near market area,Electricity,Medium
traffic sign damaged needs replacement Please take action,Police/Traffic,Low
fire alarm system not working in hospital,Fire,Medium
explosion near petrol pump causing severe damage,Fire,High
emergency traffic situation with multiple vehicle collision,Police/Traffic,High
road surface deteriorated with multiple cracks Please take action,PWD,Medium
encroachment issue needing removal and enforcement action Please take action,Municipality,Medium
unhygienic food preparation in restaurant causing health risk,Health Department,High
water tap h&le broken needs fixing,Water,Low
street light needs new bulb replacement,Electricity,Low
fire safety training needed for staff,Fire,Low
encroachment blocking main road affecting public access,Municipality,High
Reported: paint fading on electrical pole,Electricity,Low
footpath uneven causing frequent falls and injuries,PWD,Medium
water pipe leakage on street resulting in water waste,Water,Medium
water tap h&le broken needs fixing,Water,Low
"road marking faded, lines need repainting",Police/Traffic,Low
sanitation training program for food vendors,Health Department,Low
fire alarm system not working in hospital,Fire,Medium
"Reported: road marking faded, lines need repainting",Police/Traffic,Low
"bridge foundation showing cracks, structural integrity at risk",PWD,High
water tap handle broken needs fixing,Water,Low
damaged transformer requires urgent maintenance and fixing,Electricity,Medium
Reported: street light not working on main road for 3 weeks,Electricity,Medium
food poisoning outbreak in locality causing hospitalizations,Health Department,High
critical water scarcity affecting hospital and homes,Water,High
voltage fluctuations damaging household appliances,Electricity,Medium
illegal billboard obstruction on public path,Municipality,Medium
emergency health hazard affecting multiple people,Health Department,High
routine road marking and sign maintenance,PWD,Low
routine park maintenance and beautification required Please take action,Municipality,Low
public toilet not functioning for community,Municipality,Medium
Reported: traffic violation with vehicles breaking red light,Police/Traffic,Medium
public toilet not functioning for community,Municipality,Medium
dangerous accident with severe injuries and casualties,Police/Traffic,High
health checkup camp scheduling needed,Health Department,Low
routine traffic sign maintenance required,Police/Traffic,Low
traffic signal malfunctioning at busy intersection causing congestion,Police/Traffic,Medium
water pipe leakage on street resulting in water waste Please take action,Water,Medium
routine park maintenance and beautification required,Municipality,Low
malaria cases reported in residential area,Health Department,Medium
sparking from transformer in residential area near children,Electricity,High
dusty light fixtures need cleaning,Electricity,Low
clinic needs equipment calibration,Health Department,Low
building on fire with people trapped inside Please take action,Fire,High
routine road marking and sign maintenance,PWD,Low
vector-borne disease indication requiring intervention and control,Health Department,Medium
health checkup camp scheduling needed,Health Department,Low
short circuit in street light causing fire risk Please take action,Electricity,High
pickpocketing incidents in crowded market,Police/Traffic,Medium
critical crime incident requiring immediate response,Police/Traffic,High
emergency light needs battery replacement,Fire,Low
public toilet not functioning for community,Municipality,Medium
critical water scarcity affecting hospital and homes,Water,High
health awareness poster placement needed,Health Department,Low
minor water pipe repair needed at street corner Please take action,Water,Low
dangerous high voltage transformer sparking dangerously,Electricity,High
Reported: routine road marking and sign maintenance,PWD,Low
Reported: encroachment blocking main road affecting public access,Municipality,High
Reported: parking space marking needs clarification,Police/Traffic,Low
power supply irregular and unstable in area,Water,Medium
chemical fire in warehouse locality,Fire,High
critical waste management crisis threatening public health,Municipality,High
emergency fire situation with potential casualties,Fire,High
pickpocketing incidents in crowded market,Police/Traffic,Medium
food poisoning outbreak in locality causing hospitalizations,Health Department,High
stolen two wheeler reported in the area,Police/Traffic,Medium
food stall operating without proper hygiene license,Health Department,Medium
Reported: electrical burning smell in residential complex,Fire,Medium
road completely damaged affecting vehicle movement,PWD,High
illegal construction on public l&,Municipality,High
stagnant water accumulating due to pipe blockage,Water,Medium
sidewalk broken making it difficult for elderly and disabled,PWD,Medium
routine road marking & sign maintenance,PWD,Low
open dumping of waste creating health hazard in residential area,Municipality,High
Reported: fire safety audit failing in commercial area,Fire,Medium
"robbery incident on main street, criminal still at large",Police/Traffic,High
emergency light needs battery replacement,Fire,Low
pest infestation near food storage locality,Health Department,Medium
severe explosion hazard threatening surrounding buildings Please take action,Fire,High
dustbin overflow creating nuisance and smell in area Please take action,Municipality,Medium
critical waste management crisis threatening public health,Municipality,High
routine health facility maintenance required,Health Department,Low
pest control needed for rat infestation urgently,Health Department,Medium
waste accumulation needing immediate collection and disposal,Municipality,Medium
Reported: food poisoning outbreak in locality causing hospitalizations,Health Department,High
street sign faded needs repainting,PWD,Low
food poisoning outbreak in locality causing hospitalizations,Health Department,High
Reported: loose connection at transformer causing sparks intermittently,Electricity,Medium
tree branches need pruning for maintenance Please take action,Municipality,Low
garbage accumulation causing disease outbreak Please take action,Municipality,High
vehicle collision on road needing intervention,Police/Traffic,Medium
power supply irregular & unstable in area,Electricity,Medium
traffic signal light needs cleaning from dust,Police/Traffic,Low
health center needs routine inspection and maintenance,Health Department,Low
frequent power tripping affecting daily operations,Electricity,Medium
sanitation training program for food vendors,Health Department,Low
street light not working on main road for 3 weeks Please take action,Electricity,Medium
severe subsidence on road near government building,PWD,High
fire safety training needed for staff,Fire,Low
traffic congestion due to signal malfunction urgently needs fix,Police/Traffic,Medium
water meter needs servicing and calibration,Water,Low
emergency fire situation with potential casualties,Fire,High
"helmet not used by riders, awareness campaign needed",Police/Traffic,Low
"Reported: robbery incident on main street, criminal still at large",Police/Traffic,High
power supply irregular and unstable in area,Electricity,Medium
fire safety training needed for staff,Fire,Low
parking space marking needs clarification,Police/Traffic,Low
major pothole on main road causing accidents and vehicle damage,PWD,High
reckless drunk driver causing accidents on highway,Police/Traffic,High
"Reported: road marking faded, lines need repainting",Police/Traffic,Low
water pipe partially damaged causing wastage,Water,Medium
illegal billboard obstruction on public path,Municipality,Medium
routine traffic sign maintenance required,Police/Traffic,Low
Reported: water pipe leakage on street resulting in water waste,Water,Medium
street sign faded needs repainting,PWD,Low
fire extinguisher not available in government building,Fire,Medium
overflowing dustbin on street creating smell,Municipality,Medium
routine traffic sign maintenance required,Police/Traffic,Low
"dengue outbreak suspected, vector surveillance immediately needed",Health Department,High
critical waste management crisis threatening public health,Municipality,High
electrical burning smell in residential complex,Fire,Medium
"robbery incident on main street, criminal still at large",Police/Traffic,High
footpath uneven causing frequent falls and injuries,PWD,Medium
emergency health hazard affecting multiple people Please take action,Health Department,High
Reported: routine health facility maintenance required,Health Department,Low
electrical burning smell in residential complex,Fire,Medium
road needs repainting of lane markings Please take action,PWD,Low
sanitation training program for food vendors,Health Department,Low
Reported: emergency health hazard affecting multiple people,Health Department,High
water meter needs servicing and calibration,Water,Low
paint fading on electrical pole Please take action,Electricity,Low
damaged transformer needs urgent maintenance & fixing,Electricity,Medium
sewage overflow in residential area causing disease outbreak,Water,High
critical disease outbreak requiring emergency response,Health Department,High
Reported: fire equipment maintenance and inspection due,Fire,Low
emergency light requires battery replacement,Fire,Low
Reported: dangling wires on telephone poles creating hazard,Electricity,Medium
fire safety audit failing in commercial area Please take action,Fire,Medium
sidewalk broken making it difficult for elderly and disabled,PWD,Medium
fire hazard condition needing urgent attention and inspection Please take action,Fire,Medium
traffic sign damaged needs replacement,Police/Traffic,Low
Reported: traffic signal light needs cleaning from dust,Police/Traffic,Low
severe pothole hazard causing vehicle damage and accidents,PWD,High
garbage piling requiring immediate cleanup action,Municipality,Medium
Reported: fire alarm system not working in hospital,Fire,Medium
Reported: park grass needs regular cutting and maintenance,Municipality,Low
fire safety audit failing in commercial area,Fire,Medium
fire safety signage requires replacement in mall,Fire,Low
sparking from transformer in residential locality near children,Electricity,High
"stray dogs attacking people in area, urgent animal control needed",Health Department,High
sewage treatment plant overflow causing environmental damage,Municipality,High
pothole appearing on main street needs quick attention,PWD,Medium
severe pothole hazard causing vehicle damage and accidents,PWD,High
routine light repair and maintenance needed Please take action,Electricity,Low
Reported: unhygienic food preparation in restaurant causing health risk,Health Department,High
footpath uneven causing frequent falls and injuries Please take action,PWD,Medium
vehicles parked illegally blocking emergency access,Police/Traffic,Medium
critical road damage causing traffic accident risk,PWD,High
Reported: smoke coming from basement of office building,Fire,Medium
dustbin requires replacement in area,Municipality,Low
paint fading on electrical pole,Electricity,Low
Reported: health awareness poster placement needed,Health Department,Low
routine traffic sign maintenance required,Police/Traffic,Low
minor crack in transformer box,Electricity,Low
voltage fluctuations damaging household appliances,Electricity,Medium
illegal construction on public land Please take action,Municipality,High
water supply stopped for more than 48 hours,Water,High
sparking from transformer in residential area near children,Electricity,High
dangerous accident with severe injuries and casualties,Police/Traffic,High
"stray dogs attacking people in area, urgent animal control needed Please take action",Health Department,High
Reported: overflowing dustbin on street creating smell,Municipality,Medium
traffic congestion due to signal malfunction urgently needs fix Please take action,Police/Traffic,Medium
park encroachment by unauthorized vendors,Municipality,Medium
minor electrical maintenance required,Electricity,Low
garbage piling requiring immediate cleanup action Please take action,Municipality,Medium
street light requires new bulb replacement,Electricity,Low
water supply stopped for more than 48 hours,Water,High
encroachment blocking main road affecting public access,Municipality,High
mosquito breeding requiring immediate pest control action Please take action,Health Department,Medium
dusty light fixtures need cleaning,Electricity,Low
health checkup camp scheduling needed,Health Department,Low
fire safety signage needs replacement in mall Please take action,Fire,Low
sparking from transformer in residential area near children Please take action,Electricity,High
emergency fire situation with potential casualties,Fire,High
Reported: fire exit door needs repair in office,Fire,Low
health center requires routine inspection and maintenance,Health Department,Low
water pipe leakage on street resulting in water waste,Water,Medium
"water supply irregular, only few hours daily",Water,Medium
park fence needs minor repair and maintenance Please take action,Municipality,Low
drainage pipe choked causing water accumulation,Water,Medium
routine fire safety equipment maintenance needed,Fire,Low
electrical burning smell in residential complex,Fire,Medium
water pressure very low in residential area,Water,Medium
asphalt patch needed on side street,PWD,Low
park grass needs regular cutting and maintenance Please take action,Municipality,Low
drainage pipe choked causing water accumulation,Water,Medium
illegal construction on public land,Municipality,High
park encroachment by unauthorized vendors,Municipality,Medium
Reported: power outage in hospital during emergency situation,Electricity,High
Reported: emergency health hazard affecting multiple people,Health Department,High
food stall operating without proper hygiene license,Health Department,Medium
malaria cases reported in residential area,Health Department,Medium
Reported: electrical burning smell in residential complex,Fire,Medium
park fence needs minor repair and maintenance,Municipality,Low
pharmacy selling expired medicines illegally,Health Department,Medium
street light needs new bulb replacement,Electricity,Low
encroachment issue needing removal and enforcement action,Municipality,Medium
water meter needs servicing and calibration Please take action,Water,Low
parking space marking needs clarification,Police/Traffic,Low
waste accumulation needing urgent collection and disposal Please take action,Municipality,Medium
traffic congestion due to signal malfunction urgently needs fix,Police/Traffic,Medium
fire exit door needs repair in office,Fire,Low
stolen two wheeler reported in the area,Police/Traffic,Medium
chemical fire in warehouse area,Fire,High
rash driving near school affecting student safety,Police/Traffic,Medium
"water supply irregular, only few hours daily",Water,Medium
manhole cover missing creating dangerous pit,PWD,High
"bridge foundation showing cracks, structural integrity at risk",PWD,High
"water supply irregular, only few hours daily",Water,Medium
fire alarm system not working in hospital,Fire,Medium
short circuit in street light causing fire risk,Electricity,High
fire alarm system not working in hospital,Fire,Medium
health center needs routine inspection & maintenance,Health Department,Low
emergency light needs battery replacement Please take action,Fire,Low
multiple potholes on street requiring immediate repair Please take action,PWD,Medium
street light needs new bulb replacement,Electricity,Low
sanitation training program for food vendors,Health Department,Low
Reported: dustbin overflow creating nuisance and smell in area,Municipality,Medium
food poisoning outbreak in locality causing hospitalizations,Health Department,High
electrical burning smell in residential complex,Fire,Medium
emergency light needs battery replacement,Fire,Low
accident scene without proper barricading setup,Police/Traffic,Medium
gas cylinder blast in residential building,Fire,High
accident scene without proper barricading setup,Police/Traffic,Medium
street cleaning not done for weeks,Municipality,Medium
road requires repainting of lane markings,PWD,Low
health checkup camp scheduling needed Please take action,Health Department,Low
electrical wire partially damaged needs immediate repair,Electricity,Medium
minor crack in transformer box,Electricity,Low
Reported: road surface deteriorated with multiple cracks,PWD,Medium
reckless drunk driver causing accidents on highway Please take action,Police/Traffic,High
critical live wire exposure threatening public safety,Electricity,High
Reported: electric pole fallen and live wires on ground floor,Electricity,High
minor crack in transformer box Please take action,Electricity,Low
dusty light fixtures need cleaning,Electricity,Low
public area beautification needed,Municipality,Low
Reported: mosquito breeding requiring immediate pest control action,Health Department,Medium
Reported: malaria cases reported in residential area,Health Department,Medium
Reported: emergency road collapse threatening public safety,PWD,High
"mosquito breeding in stagnant water, dengue prevention needed",Health Department,Medium
electrical wire partially damaged needs immediate repair,Electricity,Medium
emergency fire situation with potential casualties,Fire,High
slight discoloration in drinking water,Water,Medium
emergency health hazard affecting multiple people,Health Department,High
"Reported: vehicle theft reported, urgent investigation needed",Police/Traffic,High
street sign faded requires repainting,PWD,Low
"dengue outbreak suspected, vector surveillance urgently needed Please take action",Health Department,High
emergency electrical hazard causing immediate danger Please take action,Electricity,High
"bridge foundation showing cracks, structural integrity at risk",PWD,High
